city,country,latitude,longitude,population,no_data,model_score_2026,model_score_2050,2026_thermique_exposure,2026_eau_exposure,2026_feux_exposure,2026_mer_exposure,2026_fleuves_exposure,2026_stabilite_exposure,2050_thermique_exposure,2050_eau_exposure,2050_feux_exposure,2050_mer_exposure,2050_fleuves_exposure,2050_stabilite_exposure
Shanghai,CN,31.22,121.46,24874500,False,31,29,22.400000000000002,0.0,10.0,100.0,69.6,9.2,24.0,2.8000000000000003,12.0,100.0,69.6,26.0
Pékin,CN,39.91,116.4,18960744,False,66,64,40.0,43.2,37.2,0.0,8.0,17.2,41.199999999999996,41.199999999999996,37.2,0.0,8.0,44.4
Shenzhen,CN,22.55,114.07,17494398,False,74,68,36.0,0.0,17.599999999999998,12.8,0.0,21.6,44.0,0.0,19.6,13.600000000000001,0.0,39.6
Canton,CN,23.12,113.25,16096724,False,47,43,45.6,0.0,16.400000000000002,60.4,68.0,21.6,53.6,0.0,18.4,70.0,68.0,40.0
Kinshasa,CD,-4.33,15.31,16000000,False,56,52,56.00000000000001,0.0,41.199999999999996,0.0,57.199999999999996,30.8,61.6,0.0,43.6,0.0,57.199999999999996,52.0
Istanbul,TR,41.01,28.95,15701602,False,69,62,10.0,29.2,44.0,4.8,0.0,33.2,12.4,33.6,48.4,4.8,0.0,53.6
Lagos,NG,6.45,3.4,15388000,False,46,40,68.4,0.0,40.400000000000006,49.6,48.8,10.8,76.4,0.0,40.400000000000006,56.00000000000001,48.8,25.6
Hô Chi Minh Ville,VN,10.82,106.63,14002598,False,37,23,72.0,0.0,45.6,76.0,73.2,22.8,82.0,0.0,45.6,94.39999999999999,73.2,40.400000000000006
Chengdu,CN,30.67,104.07,13568357,False,85,73,16.0,10.0,14.000000000000002,0.0,0.4,20.0,19.6,14.799999999999999,16.8,0.0,0.4,40.0
Lahore,PK,31.56,74.35,13004135,False,40,39,62.4,70.39999999999999,75.2,0.0,43.6,16.400000000000002,67.2,70.8,75.2,0.0,43.6,35.199999999999996
Mumbai,IN,19.07,72.88,12691836,False,49,44,69.19999999999999,0.0,47.599999999999994,47.599999999999994,0.0,11.600000000000001,76.0,0.0,47.599999999999994,50.8,0.0,27.6
São Paulo,BR,-23.55,-46.64,12400232,False,87,78,2.4,0.0,14.799999999999999,0.0,0.0,20.4,4.3999999999999995,0.0,16.0,0.0,0.0,36.8
Mexico,MX,19.43,-99.13,12294193,False,56,49,1.6,57.199999999999996,59.199999999999996,0.0,45.6,30.4,3.2,63.6,67.2,0.0,45.6,62.0
Karâchi,PK,24.86,67.01,11624219,False,27,25,84.8,100.0,19.6,20.8,7.6,19.6,92.0,100.0,20.0,22.0,7.6,34.0
Tianjin,CN,39.14,117.18,11090314,False,21,20,37.6,46.800000000000004,38.800000000000004,100.0,91.2,12.8,37.6,42.8,37.2,100.0,91.2,42.0
Delhi,IN,28.65,77.23,11034555,False,44,43,63.6,51.6,70.0,0.0,55.2,9.6,68.0,52.0,70.0,0.0,55.2,25.2
Wuhan,CN,30.58,114.27,10392693,False,46,45,31.6,0.0,1.6,0.0,86.0,8.799999999999999,31.6,0.0,2.8000000000000003,0.0,86.0,25.2
Moscou,RU,55.75,37.62,10381222,False,69,55,33.2,0.0,5.2,0.0,23.200000000000003,45.2,30.4,0.0,6.4,0.0,23.200000000000003,70.8
Dacca,BD,23.71,90.41,10356500,False,23,22,69.19999999999999,0.0,31.6,100.0,86.8,4.8,76.8,0.0,32.800000000000004,100.0,86.8,18.0
Séoul,KR,37.57,126.98,10349312,False,69,64,31.2,0.0,4.8,13.600000000000001,42.8,25.6,32.0,0.0,5.6000000000000005,13.600000000000001,42.8,49.6
Tokyo,JP,35.69,139.69,9733276,False,73,69,20.0,0.0,0.0,39.2,1.2,24.0,21.2,0.0,0.0,40.400000000000006,1.2,43.2
Dongguan,CN,23.02,113.75,9644871,False,49,43,44.4,0.0,15.6,64.4,64.4,22.8,52.400000000000006,0.0,18.0,71.6,64.4,41.199999999999996
Le Caire,EG,30.06,31.25,9606916,False,31,29,31.2,100.0,0.0,0.0,60.4,25.6,37.2,100.0,0.0,0.0,60.4,45.6
Xi'an,CN,34.26,108.93,9600000,False,71,68,28.4,37.6,12.4,0.0,26.8,16.0,30.0,40.0,15.6,0.0,26.8,38.4
Johannesbourg,ZA,-26.2,28.04,9418183,False,71,65,5.6000000000000005,42.4,33.6,0.0,0.0,25.6,4.8,44.4,38.0,0.0,0.0,51.2
Nankin,CN,32.06,118.78,9314685,False,57,56,32.4,0.0,6.4,15.2,62.4,14.399999999999999,33.2,0.0,7.199999999999999,15.2,62.4,33.2
Hangzhou,CN,30.29,120.16,9236032,False,32,30,30.8,0.0,4.3999999999999995,100.0,46.800000000000004,16.0,33.2,0.0,6.800000000000001,100.0,46.800000000000004,36.4
Foshan,CN,23.03,113.13,9042509,False,37,28,45.2,0.0,16.0,82.0,82.0,22.0,54.0,0.0,18.0,92.80000000000001,82.0,40.400000000000006
Londres,GB,51.51,-0.13,8961989,False,74,71,11.200000000000001,20.0,20.4,31.6,23.200000000000003,18.8,10.0,24.4,25.2,32.0,23.200000000000003,34.0
New York,US,40.71,-74.01,8804190,False,71,57,26.400000000000002,0.0,0.0,38.800000000000004,6.800000000000001,36.8,28.4,0.0,0.0,41.199999999999996,6.800000000000001,62.4
Jakarta,ID,-6.22,106.84,8540121,False,51,37,71.6,0.0,21.2,26.8,3.2,25.6,91.2,0.0,22.8,33.2,3.2,42.4
Bangalore,IN,12.97,77.59,8495492,False,52,50,30.4,50.0,70.39999999999999,0.0,0.0,13.200000000000001,38.4,50.4,71.2,0.0,0.0,28.4
Hanoï,VN,21.02,105.84,8053663,False,38,36,52.800000000000004,0.0,19.2,5.2,92.80000000000001,10.4,60.0,0.0,20.4,5.2,92.80000000000001,27.200000000000003
Taipei,TW,25.05,121.53,7871900,False,85,75,17.2,0.0,0.0,2.8000000000000003,0.0,23.200000000000003,21.2,0.0,0.0,3.2,0.0,40.400000000000006
Lima,PE,-12.04,-77.03,7737002,False,40,38,0.8,100.0,0.0,0.4,0.0,20.8,2.0,100.0,0.0,0.4,0.0,40.400000000000006
Bogota,CO,4.61,-74.08,7674366,False,87,72,0.0,0.0,6.4,0.0,0.0,23.200000000000003,0.0,0.0,9.6,0.0,0.0,48.4
Chongqing,CN,29.56,106.56,7457599,False,76,74,21.2,0.0,3.5999999999999996,0.0,35.6,14.399999999999999,25.6,0.0,5.2,0.0,35.6,32.4
Hong Kong,HK,22.28,114.18,7396076,False,75,69,36.0,0.0,17.599999999999998,4.8,0.0,21.6,44.0,0.0,19.6,5.2,0.0,39.6
Bagdad,IQ,33.34,44.4,7216000,False,25,23,57.599999999999994,100.0,23.200000000000003,0.0,84.0,31.6,63.2,100.0,23.200000000000003,0.0,84.0,55.2
Wuzhong,CN,37.99,106.2,7202654,False,40,38,35.6,85.6,22.8,0.0,34.8,24.8,35.6,86.0,25.6,0.0,34.8,48.4
Qingdao,CN,36.06,120.38,7172451,False,79,71,26.400000000000002,23.599999999999998,14.399999999999999,16.400000000000002,0.0,12.8,26.8,23.599999999999998,14.799999999999999,17.599999999999998,0.0,38.4
Téhéran,IR,35.69,51.42,7153309,False,38,36,27.200000000000003,92.80000000000001,36.4,0.0,0.0,28.000000000000004,30.4,93.60000000000001,36.0,0.0,0.0,49.2
Shenyang,CN,41.79,123.43,7050000,False,70,61,40.0,12.8,8.799999999999999,0.0,30.4,24.8,40.0,13.600000000000001,10.4,0.0,30.4,54.400000000000006
Hyderabad,IN,17.38,78.46,6993262,False,45,43,57.199999999999996,60.0,76.4,0.0,0.0,6.4,64.0,62.4,77.2,0.0,0.0,22.400000000000002
Rio de Janeiro,BR,-22.91,-43.18,6747815,False,73,69,30.4,23.200000000000003,34.4,7.6,0.0,22.400000000000002,37.6,24.0,36.0,8.0,0.0,38.4
Suzhou,CN,31.3,120.6,6715559,False,57,55,24.0,0.0,10.4,53.2,57.199999999999996,16.8,25.6,0.0,11.600000000000001,57.199999999999996,57.199999999999996,36.0
Puxi,CN,31.24,121.47,6683712,False,31,29,22.400000000000002,0.0,10.0,100.0,68.0,9.2,24.0,2.8000000000000003,12.0,100.0,68.0,26.0
Ahmedabad,IN,23.03,72.59,6357693,False,42,38,75.6,49.2,74.8,0.0,26.8,19.2,80.80000000000001,47.599999999999994,73.6,0.0,26.8,38.800000000000004
Abidjan,CI,5.35,-4.0,6321017,False,57,56,62.4,0.0,30.4,1.2,11.600000000000001,28.000000000000004,64.4,0.0,31.2,1.2,11.600000000000001,34.8
Pudong,CN,31.24,121.5,5681512,False,31,30,22.400000000000002,0.0,10.0,100.0,64.8,9.2,24.0,2.8000000000000003,12.0,100.0,64.8,26.0
Sydney,AU,-33.87,151.21,5638830,False,85,76,3.5999999999999996,3.2,6.800000000000001,4.8,0.0,24.8,4.3999999999999995,4.8,7.199999999999999,5.2,0.0,40.400000000000006
Singapour,SG,1.29,103.85,5638700,False,63,57,57.199999999999996,0.0,0.0,8.0,0.0,18.0,65.2,0.0,0.0,8.4,0.0,33.6
Melbourne,AU,-37.81,144.96,5435590,False,77,72,2.8000000000000003,32.4,24.8,4.0,0.0,22.0,2.8000000000000003,36.4,26.8,4.3999999999999995,0.0,40.8
Dar es Salam,TZ,-6.82,39.27,5383728,False,56,49,62.0,21.2,40.400000000000006,5.2,0.0,16.8,71.2,26.400000000000002,43.6,5.2,0.0,34.0
Saint-Pétersbourg,RU,59.94,30.31,5351935,False,59,48,30.8,0.0,4.0,20.8,56.39999999999999,47.599999999999994,27.200000000000003,0.0,5.2,21.6,56.39999999999999,75.6
Alexandrie,EG,31.2,29.92,5263542,False,23,20,26.8,100.0,21.6,78.8,62.0,22.400000000000002,33.2,100.0,20.0,90.4,62.0,38.4
Harbin,CN,45.75,126.65,5242897,False,57,55,44.4,16.8,14.399999999999999,0.0,58.4,30.0,43.6,17.599999999999998,14.000000000000002,0.0,58.4,59.599999999999994
Bangkok,TH,13.75,100.5,5104476,False,18,16,86.4,6.800000000000001,48.0,100.0,95.19999999999999,18.0,98.0,5.6000000000000005,47.599999999999994,100.0,95.19999999999999,35.6
Hefei,CN,31.86,117.28,5050000,False,80,78,30.0,0.0,2.8000000000000003,0.0,4.8,13.200000000000001,30.8,0.0,3.2,0.0,4.8,32.4
Dalian,CN,38.91,121.6,4913879,False,80,71,25.6,25.6,13.200000000000001,6.4,0.0,14.000000000000002,25.6,28.4,16.0,6.800000000000001,0.0,38.4
Kano,NG,12.0,8.52,4910000,False,47,44,54.0,44.800000000000004,73.2,0.0,3.5999999999999996,26.400000000000002,64.4,46.800000000000004,74.4,0.0,3.5999999999999996,43.6
Santiago,CL,-33.46,-70.65,4837295,False,53,50,7.6,66.8,68.4,0.0,0.0,29.2,7.6,71.2,68.8,0.0,0.0,56.39999999999999
Le Cap,ZA,-33.93,18.42,4772846,False,61,57,2.8000000000000003,56.00000000000001,57.199999999999996,6.4,0.0,20.8,3.5999999999999996,60.0,60.4,6.4,0.0,39.6
Peshawar,PK,34.01,71.58,4758762,False,45,43,57.199999999999996,67.60000000000001,69.19999999999999,0.0,35.6,20.4,62.4,69.19999999999999,69.6,0.0,35.6,40.0
Changchun,CN,43.88,125.32,4714996,False,72,60,40.8,2.8000000000000003,10.4,0.0,0.0,31.2,39.6,5.2,10.8,0.0,0.0,61.6
Djeddah,SA,21.49,39.19,4697000,False,28,26,95.19999999999999,100.0,0.0,7.199999999999999,2.8000000000000003,22.400000000000002,100.0,100.0,0.0,8.0,2.8000000000000003,42.0
Chennai,IN,13.09,80.28,4681087,False,36,31,92.0,25.6,59.199999999999996,8.799999999999999,15.2,6.4,98.0,24.8,59.599999999999994,9.2,15.2,17.2
Calcutta,IN,22.56,88.36,4631392,False,23,22,75.6,0.0,32.800000000000004,100.0,76.8,7.199999999999999,76.8,0.0,33.2,100.0,76.8,18.4
Xiamen,CN,24.48,118.08,4617251,False,74,69,33.6,6.4,24.8,21.6,0.0,21.6,39.6,7.199999999999999,26.0,22.400000000000002,0.0,38.4
Surate,IN,21.2,72.83,4591246,False,39,37,73.2,5.6000000000000005,51.2,31.2,78.0,13.600000000000001,78.8,5.2,51.2,32.0,78.0,28.799999999999997
Yangon,MM,16.8,96.16,4477638,False,24,23,73.2,0.0,46.800000000000004,100.0,61.199999999999996,4.3999999999999995,78.8,0.0,46.800000000000004,100.0,61.199999999999996,15.6
Bao'an,CN,22.55,113.88,4476554,False,69,63,43.6,0.0,17.599999999999998,18.4,0.0,22.0,52.0,0.0,19.6,19.6,0.0,40.400000000000006
Kaboul,AF,34.53,69.17,4434550,False,49,46,30.0,69.19999999999999,59.199999999999996,0.0,22.8,27.6,29.2,71.6,60.0,0.0,22.8,52.800000000000004
Nairobi,KE,-1.28,36.82,4397073,False,62,59,0.8,57.199999999999996,52.400000000000006,0.0,0.0,22.8,1.6,59.599999999999994,56.00000000000001,0.0,0.0,44.4
Wuxi,CN,31.57,120.29,4396835,False,50,49,26.0,0.0,10.4,39.6,71.2,16.0,27.6,0.4,11.600000000000001,41.199999999999996,71.2,35.6
Gizeh,EG,30.01,31.21,4367343,False,31,29,34.8,100.0,0.0,0.0,62.0,26.0,42.0,100.0,0.0,0.0,62.0,46.0
Jinan,CN,36.67,117.0,4335989,False,60,58,31.6,18.8,16.400000000000002,0.0,57.599999999999994,11.200000000000001,31.2,16.8,17.2,0.0,57.599999999999994,37.2
Taiyuan,CN,37.87,112.56,4303673,False,55,53,37.2,61.199999999999996,32.0,0.0,21.2,19.6,37.2,62.0,34.4,0.0,21.2,42.8
Zhengzhou,CN,34.76,113.65,4253913,False,65,63,34.0,40.8,22.400000000000002,0.0,44.4,11.600000000000001,34.4,40.8,25.2,0.0,44.4,32.800000000000004
Bamako,ML,12.61,-7.98,4227569,False,40,35,73.2,50.4,75.6,0.0,44.800000000000004,20.0,82.0,53.6,77.2,0.0,44.800000000000004,38.4
Riyad,SA,24.69,46.72,4205961,False,33,31,50.0,100.0,11.200000000000001,0.0,0.0,32.0,56.8,100.0,11.600000000000001,0.0,0.0,55.60000000000001
Nouveau Taipei,TW,25.06,121.46,4004367,False,85,75,17.2,0.0,0.0,3.2,0.0,23.200000000000003,21.2,0.0,0.0,3.5999999999999996,0.0,40.400000000000006
New Territories,HK,22.42,114.11,3984077,False,75,69,34.4,0.0,17.2,12.8,0.0,22.400000000000002,42.0,0.0,18.8,14.000000000000002,0.0,40.0
Shijiazhuang,CN,38.04,114.48,3938513,False,57,56,38.4,54.0,38.0,0.0,42.4,15.2,39.2,53.2,39.6,0.0,42.4,39.6
Chittagong,BD,22.34,91.83,3920222,False,24,23,68.0,0.0,34.4,100.0,73.2,4.0,76.0,0.0,35.199999999999996,100.0,73.2,16.400000000000002
Addis-Abeba,ET,9.02,38.75,3860000,False,79,72,0.0,16.0,33.2,0.0,0.0,22.8,0.4,18.0,36.0,0.0,0.0,42.8
Kunming,CN,25.04,102.72,3855346,False,78,64,3.5999999999999996,23.200000000000003,26.400000000000002,0.0,0.0,32.4,3.2,29.2,30.0,0.0,0.0,56.00000000000001
Zhongshan,CN,22.52,113.38,3841873,False,48,39,39.6,0.0,15.6,65.2,67.2,20.4,47.199999999999996,0.0,17.2,78.8,67.2,37.6
Nanning,CN,22.82,108.32,3839800,False,60,58,43.6,0.0,14.000000000000002,0.0,57.599999999999994,17.599999999999998,51.2,0.0,16.0,0.0,57.599999999999994,35.199999999999996
Shantou,CN,23.36,116.68,3838900,False,30,28,33.6,0.0,16.400000000000002,100.0,50.8,19.6,40.400000000000006,0.0,18.0,100.0,50.8,35.6
Los Angeles,US,34.05,-118.24,3820914,False,46,45,8.0,80.4,63.2,0.0,0.0,24.8,9.6,81.6,63.6,0.0,0.0,40.8
Faisalabad,PK,31.42,73.09,3800193,False,39,37,64.0,82.0,67.2,0.0,0.0,22.8,69.19999999999999,82.39999999999999,68.0,0.0,0.0,42.8
Dubaï,AE,25.08,55.31,3790000,False,29,27,85.6,100.0,13.600000000000001,5.2,0.0,23.599999999999998,90.8,100.0,12.8,5.6000000000000005,0.0,44.4
Yokohama,JP,35.43,139.65,3777491,False,84,73,18.4,0.0,0.0,12.0,0.0,23.599999999999998,20.4,0.0,0.0,12.4,0.0,42.8
Fuzhou,CN,26.06,119.31,3740000,False,41,36,28.4,0.0,17.2,80.4,64.8,23.200000000000003,34.4,0.0,18.4,86.4,64.8,41.199999999999996
Ningbo,CN,29.88,121.55,3731203,False,36,34,25.6,0.0,4.0,100.0,0.0,16.0,28.799999999999997,0.0,6.0,100.0,0.0,36.0
Casablanca,MA,33.59,-7.61,3665954,False,50,47,6.0,74.4,61.6,2.0,0.0,23.200000000000003,8.0,78.0,60.0,2.0,0.0,42.4
Ibadan,NG,7.38,3.91,3649000,False,62,60,56.8,0.0,43.2,0.0,0.0,9.2,58.8,2.0,44.4,0.0,0.0,23.599999999999998
Puyang,CN,29.46,119.89,3590000,False,82,74,26.8,0.0,1.6,0.0,0.0,18.4,29.599999999999998,0.0,2.8000000000000003,0.0,0.0,40.400000000000006
Ankara,TR,39.92,32.85,3517182,False,54,50,27.200000000000003,63.6,57.99999999999999,0.0,0.0,30.4,27.6,68.0,57.599999999999994,0.0,0.0,57.99999999999999
Shiyan,CN,32.65,110.78,3460000,False,82,76,27.6,8.0,0.0,0.0,0.0,14.000000000000002,29.599999999999998,9.6,2.4,0.0,0.0,35.6
Berlin,DE,52.52,13.41,3426354,False,68,62,18.0,29.2,17.2,0.0,42.8,31.6,16.0,34.0,22.8,0.0,42.8,50.8
Tangshan,CN,39.64,118.18,3372102,False,70,67,38.800000000000004,37.2,28.000000000000004,1.2,0.0,14.799999999999999,39.2,34.4,27.6,1.2,0.0,42.8
Rawalpindi,PK,33.6,73.05,3357612,False,65,61,46.400000000000006,26.8,45.2,0.0,0.0,21.6,51.2,28.000000000000004,46.800000000000004,0.0,0.0,41.6
Lüliang,CN,37.52,111.14,3346500,False,70,67,37.6,40.8,20.0,0.0,0.0,18.0,36.8,42.0,23.200000000000003,0.0,0.0,43.2
Durban,ZA,-29.86,31.03,3338026,False,79,70,8.0,25.6,27.6,5.2,0.0,23.599999999999998,12.4,28.799999999999997,30.8,5.6000000000000005,0.0,42.4
Changzhou,CN,31.77,119.95,3290918,False,41,39,29.599999999999998,0.0,9.6,10.8,92.4,15.2,30.4,0.0,10.4,14.000000000000002,92.4,34.4
Pusan,KR,35.1,129.03,3285147,False,54,52,23.599999999999998,0.0,6.0,63.2,46.800000000000004,22.0,24.4,0.0,7.6,64.8,46.800000000000004,42.8
Madrid,ES,40.42,-3.7,3255944,False,49,45,18.8,73.2,60.8,0.0,0.0,30.8,24.4,76.8,59.199999999999996,0.0,0.0,59.599999999999994
Pyongyang,KP,39.03,125.75,3222000,False,64,61,36.0,0.0,5.6000000000000005,19.6,48.4,23.599999999999998,36.4,0.0,6.800000000000001,20.0,48.4,50.8
Zibo,CN,36.79,118.06,3129228,False,72,69,37.6,31.2,27.6,0.0,0.0,13.600000000000001,38.4,29.599999999999998,28.000000000000004,0.0,0.0,40.400000000000006
Pune,IN,18.52,73.86,3124458,False,52,50,26.400000000000002,44.800000000000004,72.0,0.0,0.0,11.600000000000001,31.6,45.6,72.8,0.0,0.0,28.000000000000004
Bursa,TR,40.2,29.06,3101833,False,74,62,20.0,15.6,36.4,0.0,0.0,30.4,18.0,23.200000000000003,42.8,0.0,0.0,55.60000000000001
Changsha,CN,28.2,112.97,3093980,False,68,66,34.0,0.0,0.4,0.0,47.199999999999996,15.6,38.0,0.0,1.6,0.0,47.199999999999996,36.0
Quezon City,PH,14.65,121.05,3084270,False,47,39,76.4,0.0,40.8,26.8,0.0,21.2,88.0,0.0,40.8,27.6,0.0,37.2
Jaipur,IN,26.92,75.79,3046163,False,45,42,57.599999999999994,57.99999999999999,76.8,0.0,0.0,12.4,63.6,61.199999999999996,78.0,0.0,0.0,26.0
Guiyang,CN,26.58,106.72,3037159,False,85,73,8.0,0.0,0.0,0.0,0.0,25.2,9.6,0.0,2.0,0.0,0.0,45.6
Ürümqi,CN,43.8,87.6,3029372,False,48,45,40.0,75.6,26.8,0.0,0.0,27.6,40.400000000000006,77.60000000000001,28.799999999999997,0.0,0.0,51.6
Surabaya,ID,-7.25,112.75,3018022,False,27,25,75.2,0.0,35.6,100.0,3.2,30.8,91.60000000000001,0.0,35.6,100.0,3.2,43.6
Incheon,KR,37.46,126.7,3015482,False,67,62,32.0,0.0,4.3999999999999995,43.6,21.6,26.0,32.800000000000004,0.0,5.2,44.4,21.6,50.0
Lanzhou,CN,36.06,103.84,3000000,False,61,57,37.6,48.8,10.0,0.0,42.8,28.4,36.0,53.6,12.4,0.0,42.8,54.0
Caracas,VE,10.49,-66.88,3000000,False,76,66,5.2,17.2,37.2,0.0,0.0,20.8,11.600000000000001,33.6,45.2,0.0,0.0,48.8
Kiev,UA,50.46,30.52,2952301,False,60,53,25.6,20.0,18.4,0.0,54.400000000000006,42.8,24.4,27.6,22.8,0.0,54.400000000000006,65.2
Izmir,TR,38.41,27.14,2938292,False,51,47,21.6,46.0,70.39999999999999,8.4,0.8,33.2,26.8,50.4,72.39999999999999,8.799999999999999,0.8,60.0
Huizhou,CN,23.11,114.42,2900113,False,56,54,41.6,0.0,16.400000000000002,0.4,63.2,22.400000000000002,50.0,0.0,18.4,0.4,63.2,41.199999999999996
Buenos Aires,AR,-34.61,-58.38,2891082,False,85,75,8.4,4.8,4.8,11.200000000000001,0.0,22.0,11.200000000000001,7.6,5.6000000000000005,12.4,0.0,38.800000000000004
Haikou,CN,20.03,110.35,2873358,False,56,50,58.8,0.0,18.8,26.8,42.8,16.400000000000002,67.2,0.0,20.0,28.000000000000004,42.8,29.599999999999998
Taichung,TW,24.15,120.68,2850285,False,82,71,24.8,0.0,23.200000000000003,0.0,0.0,24.8,30.8,0.0,24.8,0.0,0.0,42.4
Kanpur,IN,26.46,80.35,2823249,False,44,41,72.39999999999999,40.8,66.8,0.0,54.0,4.3999999999999995,75.6,39.2,66.0,0.0,54.0,18.0
Toronto,CA,43.71,-79.4,2794356,False,74,60,23.599999999999998,0.0,3.2,0.0,30.8,36.4,22.0,0.0,3.5999999999999996,0.0,30.8,63.2
Quito,EC,-0.23,-78.53,2781641,False,87,74,0.0,2.4,21.2,0.0,0.0,21.2,0.0,10.0,24.8,0.0,0.0,41.6
Brisbane,AU,-27.47,153.03,2780063,False,65,64,13.600000000000001,6.4,21.6,4.8,50.8,22.0,17.599999999999998,8.799999999999999,24.4,5.2,50.8,38.4
Luanda,AO,-8.84,13.23,2776168,False,43,39,56.39999999999999,71.6,76.8,2.8000000000000003,0.0,20.8,66.4,72.0,79.2,3.2,0.0,37.6
Osaka,JP,34.69,135.5,2753862,False,49,47,24.0,0.0,1.2,68.8,65.60000000000001,25.6,26.8,0.0,2.4,70.39999999999999,65.60000000000001,45.2
Linyi,CN,35.06,118.34,2743843,False,74,70,33.2,16.400000000000002,18.8,0.0,23.200000000000003,13.600000000000001,34.4,16.0,20.0,0.0,23.200000000000003,38.0
Baoding,CN,38.87,115.46,2739887,False,59,58,40.8,55.2,41.6,0.0,5.2,14.799999999999999,41.199999999999996,54.0,43.2,0.0,5.2,40.400000000000006
Kaohsiung,TW,22.62,120.31,2737660,False,63,56,54.800000000000004,0.0,31.2,5.2,0.0,20.8,64.8,0.0,32.800000000000004,5.6000000000000005,0.0,38.4
Brooklyn,US,40.65,-73.95,2736074,False,69,57,26.400000000000002,0.0,0.0,43.2,3.5999999999999996,36.8,28.4,0.0,0.0,45.6,3.5999999999999996,62.4
Guayaquil,EC,-2.2,-79.89,2723665,False,45,41,56.39999999999999,15.6,52.0,63.2,63.6,22.400000000000002,60.0,17.599999999999998,55.2,66.4,63.6,39.2
Belo Horizonte,BR,-19.92,-43.94,2721564,False,83,74,2.0,0.0,26.8,0.0,0.0,26.400000000000002,4.3999999999999995,0.0,28.4,0.0,0.0,42.0
Minhang,CN,31.11,121.38,2716600,False,31,29,23.599999999999998,0.0,10.4,100.0,66.4,11.200000000000001,25.6,2.0,12.0,100.0,66.4,28.4
Bazhong,CN,31.87,106.74,2712894,False,87,78,18.8,0.0,0.8,0.0,1.2,15.6,21.2,0.0,2.0,0.0,1.2,34.0
Salvador,BR,-12.98,-38.49,2711840,False,76,67,37.6,0.0,2.8000000000000003,1.2,0.0,18.0,49.2,0.0,3.5999999999999996,1.2,0.0,36.8
Abuja,NG,9.06,7.5,2690000,False,64,59,51.6,0.0,47.199999999999996,0.0,0.0,20.8,58.4,0.0,47.199999999999996,0.0,0.0,36.0
Gazipur,BD,24.0,90.42,2674697,False,26,24,67.2,0.0,32.4,100.0,47.599999999999994,9.2,75.2,0.0,33.6,100.0,47.599999999999994,24.0
Chicago,US,41.85,-87.65,2664452,False,78,64,32.0,0.0,1.6,0.0,0.0,33.2,32.800000000000004,0.0,0.0,0.0,0.0,58.4
Wenzhou,CN,28.0,120.67,2650000,False,32,31,21.6,0.0,1.6,100.0,47.599999999999994,21.6,27.200000000000003,0.0,2.4,100.0,47.599999999999994,40.400000000000006
Bekasi,ID,-6.24,106.99,2648272,False,56,45,62.8,0.0,25.6,26.0,5.6000000000000005,26.0,77.2,0.0,28.4,33.2,5.6000000000000005,42.4
Dakar,SN,14.69,-17.44,2646503,False,38,35,64.8,81.6,78.0,3.2,0.0,23.200000000000003,70.39999999999999,85.2,72.0,3.5999999999999996,0.0,44.800000000000004
Hải Phòng,VN,20.86,106.68,2625200,False,30,28,53.6,0.0,19.6,100.0,25.6,9.6,60.8,0.0,21.2,100.0,25.6,26.8
Yunfu,CN,22.93,112.04,2612800,False,73,66,40.0,0.0,14.799999999999999,0.0,6.4,19.6,48.8,0.0,16.8,0.0,6.4,38.800000000000004
Navi Mumbai,IN,19.04,73.02,2600000,False,50,45,66.4,0.0,47.599999999999994,60.4,0.0,11.200000000000001,72.0,0.0,47.599999999999994,62.4,0.0,26.400000000000002
Mogadiscio,SO,2.04,45.34,2587183,False,36,31,75.6,71.2,84.39999999999999,1.6,0.0,24.4,89.60000000000001,72.8,85.2,1.6,0.0,38.0
Kumasi,GH,6.69,-1.62,2544530,False,59,54,58.4,16.0,46.400000000000006,0.0,0.0,26.400000000000002,63.6,18.8,48.0,0.0,0.0,43.2
Bandung,ID,-6.92,107.61,2528163,False,81,70,0.4,0.0,18.8,0.0,0.0,31.2,1.2,0.0,22.0,0.0,0.0,51.2
Gujranwala,PK,32.16,74.19,2511118,False,48,46,57.99999999999999,60.0,70.0,0.0,0.0,20.4,63.2,60.0,70.0,0.0,0.0,40.400000000000006
Huai'an,CN,33.59,119.02,2494013,False,77,74,32.4,9.6,12.4,0.0,7.199999999999999,13.200000000000001,33.6,10.8,13.600000000000001,0.0,7.199999999999999,34.8
Medan,ID,3.58,98.67,2486283,False,65,60,56.8,0.0,0.0,0.0,0.0,14.000000000000002,62.0,0.0,0.0,0.0,0.0,31.6
Lucknow,IN,26.84,80.92,2472011,False,46,44,70.8,36.8,64.8,0.0,45.2,2.8000000000000003,72.8,34.8,63.6,0.0,45.2,15.6
Ouagadougou,BF,12.37,-1.53,2415266,False,41,39,74.0,57.599999999999994,79.60000000000001,0.0,0.0,22.0,80.4,56.8,79.2,0.0,0.0,42.8
Nagpur,IN,21.15,79.08,2405665,False,55,51,64.8,22.400000000000002,53.6,0.0,6.800000000000001,2.4,69.19999999999999,23.599999999999998,55.2,0.0,6.800000000000001,12.4
Fortaleza,BR,-3.72,-38.54,2400000,False,62,61,55.2,0.0,41.199999999999996,5.6000000000000005,0.0,18.8,55.60000000000001,0.0,41.199999999999996,6.0,0.0,37.2
Cali,CO,3.43,-76.52,2392877,False,65,61,32.4,0.0,12.0,0.0,50.4,20.4,52.0,0.0,12.4,0.0,50.4,40.0
