city,country,latitude,longitude,population,no_data,model_score_2026,model_score_2050,2026_thermique_exposure,2026_eau_exposure,2026_feux_exposure,2026_mer_exposure,2026_fleuves_exposure,2026_stabilite_exposure,2050_thermique_exposure,2050_eau_exposure,2050_feux_exposure,2050_mer_exposure,2050_fleuves_exposure,2050_stabilite_exposure
Fālākāta,IN,26.52,89.2,20119,False,58,53,64.0,0.0,36.8,0.0,0.0,8.4,70.39999999999999,0.0,38.4,0.0,0.0,23.599999999999998
Colne,GB,53.86,-2.17,20118,False,89,82,16.400000000000002,0.0,0.0,0.0,0.0,16.0,14.399999999999999,0.0,0.0,0.0,0.0,29.2
Iiyama,JP,36.85,138.37,20118,False,71,68,30.0,0.0,0.0,0.0,41.6,25.6,28.799999999999997,0.0,0.0,0.0,41.6,46.0
Sekong,LA,15.35,106.72,20116,False,52,45,66.4,0.0,38.800000000000004,0.0,42.0,23.599999999999998,77.2,0.0,39.6,0.0,42.0,38.0
Senec,SK,48.22,17.4,20115,False,72,58,20.8,31.2,17.2,0.0,21.6,36.8,20.4,36.4,22.8,0.0,21.6,59.599999999999994
Belen,TR,36.49,36.2,20113,False,60,56,19.6,28.799999999999997,59.599999999999994,1.6,6.0,28.799999999999997,23.200000000000003,34.4,62.4,2.0,6.0,52.400000000000006
Bailadores,VE,8.25,-71.83,20113,False,87,71,0.0,0.0,14.000000000000002,0.0,0.0,21.6,0.0,0.0,18.0,0.0,0.0,50.0
Porto Real do Colégio,BR,-10.19,-36.84,20112,False,52,45,57.599999999999994,34.0,51.2,12.8,54.0,15.6,66.8,37.6,55.2,12.8,54.0,31.2
Karlshamn,SE,56.17,14.86,20112,False,77,65,23.599999999999998,0.0,8.4,7.199999999999999,0.0,34.8,20.0,4.0,10.0,7.199999999999999,0.0,55.2
Hadim,TR,36.99,32.46,20110,False,66,58,25.2,25.2,47.599999999999994,0.0,0.0,31.6,23.200000000000003,33.6,54.400000000000006,0.0,0.0,59.599999999999994
Sūleswaranpatti,IN,10.64,77.01,20104,False,55,52,59.199999999999996,37.6,61.6,0.0,0.0,15.2,62.8,39.2,62.8,0.0,0.0,32.0
Tyrnyaouz,RU,43.38,42.92,20104,False,71,64,44.800000000000004,0.0,0.0,0.0,0.0,30.0,44.800000000000004,0.0,0.0,0.0,0.0,55.2
Kürten,DE,51.05,7.27,20103,False,85,75,18.0,0.0,0.0,0.0,0.0,24.0,15.6,0.0,4.0,0.0,0.0,41.6
Sunagawa,JP,43.49,141.91,20102,False,69,66,33.6,0.0,1.6,0.0,44.0,26.400000000000002,31.6,0.0,1.6,0.0,44.0,47.199999999999996
Oregon,US,41.64,-83.49,20102,False,69,60,32.4,0.0,2.8000000000000003,0.0,44.0,35.199999999999996,32.800000000000004,0.0,2.8000000000000003,0.0,44.0,58.8
Eastmont,US,47.9,-122.18,20101,False,67,66,12.8,0.0,22.0,32.800000000000004,44.0,22.0,11.600000000000001,0.0,24.8,33.2,44.0,38.0
Ādīs K’idamē,ET,11.08,36.88,20100,False,85,76,0.4,0.0,24.0,0.0,0.0,19.2,0.0,0.0,24.8,0.0,0.0,39.6
Mabare,UG,-0.97,30.45,20100,False,65,61,0.8,40.400000000000006,52.400000000000006,0.0,12.0,24.0,2.8000000000000003,42.8,55.60000000000001,0.0,12.0,46.400000000000006
Rrashbull,AL,41.32,19.51,20099,False,76,56,17.2,2.0,33.2,17.599999999999998,0.0,32.0,23.599999999999998,13.200000000000001,38.4,19.2,0.0,63.6
Pindobaçu,BR,-10.74,-40.36,20098,False,60,56,36.0,48.8,54.800000000000004,0.0,0.0,18.0,46.0,51.6,57.99999999999999,0.0,0.0,35.199999999999996
